manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1007/s10531-010-9936-4	doi:10.1007/s10531-010-9936-4	doi:10.1007/s10531-010-9936-4	12qlbeGhM
doi:10.1016/j.biocon.2016.08.005	doi:10.1016/j.biocon.2016.08.005	doi:10.1016/j.biocon.2016.08.005	15ZWNtNN
doi:10.1073/pnas.1312213111	doi:10.1073/pnas.1312213111	doi:10.1073/pnas.1312213111	dTSwQax6
doi:10.1093/jpe/rtr044	doi:10.1093/jpe/rtr044	doi:10.1093/jpe/rtr044	h9CjmmtF
doi:10.1111/1365-2664.13023	doi:10.1111/1365-2664.13023	doi:10.1111/1365-2664.13023	taT264r9
doi:10.1111/acv.12101	doi:10.1111/acv.12101	doi:10.1111/acv.12101	ObZGxlg5
doi:10.1111/gcb.13087	doi:10.1111/gcb.13087	doi:10.1111/gcb.13087	NA0GWWzs
doi:10.1111/gcb.13745	doi:10.1111/gcb.13745	doi:10.1111/gcb.13745	1D7o4Q61q
doi:10.1111/geb.12143	doi:10.1111/geb.12143	doi:10.1111/geb.12143	18Eezzis0
doi:10.1111/geb.12766	doi:10.1111/geb.12766	doi:10.1111/geb.12766	h2dBLOTM
doi:10.1111/j.2041-210X.2009.00007.x	doi:10.1111/j.2041-210X.2009.00007.x	doi:10.1111/j.2041-210x.2009.00007.x	LDmAPxgx
doi:10.1111/jvs.12588	doi:10.1111/jvs.12588	doi:10.1111/jvs.12588	Xfu2maU3
doi:10.1126/science.1201609	doi:10.1126/science.1201609	doi:10.1126/science.1201609	YoR4X4Hc
doi:10.1890/15-0935	doi:10.1890/15-0935	doi:10.1890/15-0935	XcsCFRrv
isbn:1597260401	isbn:1597260401	isbn:9781597260404	12rPfi1sq
isbn:9789251088265	isbn:9789251088265	isbn:9789251088265	153G9WUsi
